ID,Class
1,12
2,44
3,44
4,6
5,24
6,50
7,6
8,6
9,6
10,44
11,37
12,44
13,6
14,44
15,44
16,44
17,6
18,44
19,50
20,44
21,44
22,44
23,44
24,44
25,6
26,44
27,44
28,44
29,12
30,12
31,24
32,44
33,6
34,44
35,6
36,50
37,6
38,24
39,39
40,6
41,12
42,6
43,6
44,44
45,44
46,50
47,44
48,44
49,44
50,24
51,44
52,50
53,44
54,44
55,12
56,6
57,44
58,44
59,44
60,12
61,44
62,6
63,6
64,44
65,6
66,44
67,24
68,6
69,6
70,37
71,13
72,44
73,6
74,13
75,13
76,6
77,6
78,37
79,6
80,6
81,44
82,44
83,50
84,12
85,6
86,6
87,13
88,12
89,50
90,44
91,44
92,6
93,44
94,12
95,50
96,44
97,44
98,50
99,44
100,6
101,13
102,44
103,6
104,50
105,44
106,37
107,6
108,6
109,6
110,44
111,6
112,44
113,44
114,50
115,6
116,44
117,6
118,44
119,44
120,6
121,6
122,44
123,44
124,50
125,50
126,44
127,44
128,50
129,50
130,12
131,6
132,44
133,50
134,12
135,44
136,44
137,6
138,44
139,12
140,12
141,44
142,44
143,13
144,44
145,44
146,50
147,44
148,44
149,24
150,50
151,24
152,50
153,44
154,44
155,6
156,44
157,44
158,44
159,44
160,13
161,13
162,44
163,50
164,6
165,12
166,44
167,44
168,6
169,13
170,12
171,12
172,44
173,44
174,6
175,44
176,44
177,44
178,50
179,44
180,13
181,13
182,44
183,44
184,24
185,6
186,13
187,12
188,50
189,12
190,6
191,44
192,6
193,6
194,44
195,44
196,44
197,37
198,6
199,6
200,24
201,6
202,44
203,44
204,44
205,37
206,13
207,44
208,6
209,44
210,6
211,6
212,44
213,50
214,44
215,37
216,24
217,37
218,44
219,12
220,44
221,50
222,44
223,6
224,44
225,37
226,6
227,44
228,6
229,44
230,44
231,6
232,6
233,6
234,24
235,6
236,6
237,44
238,6
239,12
240,44
241,24
242,24
243,44
244,6
245,6
246,6
247,24
248,13
249,50
250,13
251,44
252,44
253,12
254,44
255,44
256,44
257,6
258,24
259,37
260,37
261,44
262,12
263,6
264,44
265,13
266,50
267,12
268,50
269,6
270,6
271,12
272,6
273,44
274,6
275,44
276,44
277,44
278,12
279,12
280,12
281,6
282,6
283,44
284,44
285,44
286,50
287,6
288,44
289,24
290,44
291,44
292,44
293,44
294,6
295,12
296,50
297,44
298,44
299,6
300,6
301,44
302,37
303,6
304,37
305,39
306,6
307,44
308,50
309,37
310,6
