ID,Class
1,12
2,13
3,44
4,13
5,24
6,50
7,12
8,13
9,12
10,38
11,37
12,13
13,13
14,39
15,39
16,50
17,13
18,39
19,12
20,37
21,13
22,39
23,24
24,37
25,12
26,13
27,50
28,39
29,12
30,12
31,24
32,24
33,13
34,24
35,13
36,12
37,13
38,24
39,37
40,12
41,12
42,12
43,24
44,50
45,39
46,50
47,13
48,37
49,24
50,24
51,44
52,50
53,39
54,44
55,12
56,6
57,44
58,37
59,37
60,12
61,37
62,13
63,37
64,37
65,39
66,24
67,24
68,39
69,12
70,37
71,39
72,44
73,39
74,39
75,13
76,37
77,24
78,37
79,13
80,13
81,24
82,24
83,50
84,12
85,13
86,13
87,13
88,12
89,50
90,37
91,37
92,13
93,24
94,12
95,24
96,39
97,37
98,24
99,13
100,12
101,13
102,37
103,13
104,12
105,13
106,50
107,13
108,37
109,12
110,24
111,12
112,24
113,50
114,50
115,13
116,37
117,13
118,13
119,13
120,13
121,13
122,13
123,44
124,24
125,50
126,44
127,13
128,24
129,50
130,13
131,13
132,24
133,24
134,12
135,50
136,37
137,6
138,13
139,12
140,13
141,37
142,37
143,13
144,39
145,44
146,50
147,13
148,44
149,24
150,13
151,24
152,50
153,44
154,50
155,13
156,24
157,37
158,44
159,44
160,39
161,13
162,24
163,24
164,13
165,12
166,44
167,12
168,12
169,13
170,12
171,13
172,37
173,13
174,37
175,50
176,50
177,24
178,50
179,44
180,13
181,13
182,24
183,24
184,24
185,13
186,13
187,12
188,13
189,12
190,39
191,24
192,13
193,37
194,37
195,44
196,37
197,37
198,13
199,12
200,24
201,37
202,37
203,24
204,50
205,37
206,13
207,24
208,13
209,13
210,6
211,13
212,39
213,12
214,24
215,37
216,24
217,37
218,13
219,12
220,44
221,50
222,50
223,13
224,13
225,37
226,13
227,24
228,13
229,44
230,50
231,12
232,13
233,13
234,24
235,13
236,12
237,37
238,12
239,12
240,38
241,24
242,24
243,13
244,12
245,13
246,13
247,24
248,13
249,50
250,13
251,37
252,12
253,12
254,24
255,13
256,44
257,12
258,24
259,50
260,37
261,50
262,12
263,12
264,50
265,39
266,50
267,12
268,50
269,12
270,12
271,13
272,39
273,39
274,13
275,13
276,44
277,44
278,12
279,12
280,12
281,12
282,12
283,39
284,44
285,13
286,12
287,12
288,50
289,24
290,39
291,39
292,13
293,44
294,13
295,12
296,50
297,44
298,37
299,13
300,39
301,44
302,37
303,13
304,37
305,37
306,6
307,37
308,12
309,37
310,13
