ID,Class
1,12
2,50
3,44
4,6
5,24
6,50
7,13
8,13
9,13
10,44
11,37
12,13
13,6
14,39
15,39
16,44
17,6
18,39
19,24
20,37
21,13
22,13
23,44
24,24
25,13
26,13
27,44
28,13
29,12
30,12
31,24
32,24
33,6
34,38
35,6
36,24
37,13
38,24
39,13
40,13
41,12
42,13
43,24
44,44
45,13
46,39
47,50
48,37
49,24
50,24
51,44
52,50
53,13
54,44
55,12
56,6
57,44
58,44
59,13
60,12
61,24
62,6
63,44
64,38
65,44
66,44
67,24
68,13
69,13
70,37
71,13
72,13
73,13
74,13
75,12
76,44
77,24
78,38
79,6
80,13
81,44
82,44
83,13
84,13
85,13
86,13
87,13
88,12
89,50
90,37
91,44
92,13
93,24
94,13
95,24
96,13
97,44
98,24
99,24
100,13
101,12
102,13
103,13
104,24
105,44
106,44
107,6
108,44
109,13
110,44
111,13
112,44
113,44
114,13
115,6
116,38
117,13
118,50
119,44
120,6
121,13
122,44
123,13
124,50
125,50
126,44
127,6
128,24
129,50
130,12
131,6
132,24
133,24
134,13
135,13
136,37
137,6
138,50
139,12
140,12
141,44
142,37
143,13
144,13
145,44
146,50
147,24
148,44
149,24
150,38
151,24
152,13
153,44
154,44
155,13
156,38
157,13
158,13
159,44
160,13
161,12
162,44
163,50
164,6
165,12
166,44
167,13
168,13
169,12
170,12
171,12
172,37
173,50
174,38
175,44
176,13
177,38
178,39
179,44
180,13
181,12
182,24
183,44
184,24
185,6
186,13
187,12
188,38
189,12
190,13
191,24
192,6
193,38
194,38
195,44
196,24
197,38
198,6
199,13
200,24
201,44
202,38
203,24
204,13
205,37
206,13
207,44
208,13
209,44
210,6
211,6
212,13
213,24
214,24
215,13
216,24
217,13
218,44
219,12
220,44
221,13
222,44
223,6
224,50
225,37
226,6
227,38
228,13
229,44
230,44
231,13
232,6
233,13
234,24
235,13
236,6
237,13
238,6
239,12
240,44
241,24
242,24
243,13
244,13
245,13
246,6
247,24
248,12
249,50
250,13
251,13
252,13
253,13
254,44
255,6
256,44
257,13
258,24
259,44
260,13
261,44
262,12
263,13
264,13
265,13
266,50
267,12
268,50
269,13
270,13
271,12
272,13
273,13
274,13
275,6
276,44
277,13
278,12
279,12
280,12
281,13
282,13
283,39
284,44
285,44
286,24
287,13
288,44
289,24
290,13
291,13
292,6
293,44
294,6
295,12
296,50
297,44
298,13
299,13
300,44
301,44
302,37
303,6
304,37
305,13
306,6
307,24
308,24
309,13
310,13
