ID,Class
1,12
2,13
3,44
4,6
5,24
6,24
7,12
8,6
9,12
10,37
11,37
12,13
13,6
14,39
15,37
16,13
17,6
18,37
19,12
20,24
21,13
22,39
23,13
24,24
25,12
26,13
27,50
28,39
29,12
30,12
31,24
32,24
33,6
34,24
35,12
36,12
37,6
38,24
39,37
40,12
41,12
42,12
43,24
44,50
45,39
46,50
47,13
48,24
49,24
50,24
51,50
52,37
53,39
54,44
55,12
56,6
57,50
58,37
59,37
60,12
61,37
62,6
63,6
64,37
65,39
66,24
67,24
68,39
69,12
70,37
71,37
72,44
73,39
74,37
75,13
76,6
77,24
78,37
79,6
80,6
81,24
82,24
83,50
84,12
85,12
86,12
87,12
88,12
89,50
90,24
91,37
92,12
93,24
94,12
95,24
96,39
97,37
98,24
99,24
100,12
101,13
102,37
103,13
104,12
105,13
106,50
107,6
108,6
109,12
110,24
111,12
112,24
113,50
114,50
115,6
116,37
117,12
118,13
119,12
120,12
121,6
122,12
123,39
124,50
125,50
126,24
127,13
128,24
129,50
130,13
131,6
132,24
133,24
134,12
135,12
136,24
137,6
138,13
139,12
140,13
141,37
142,24
143,12
144,39
145,37
146,50
147,24
148,44
149,24
150,24
151,24
152,50
153,37
154,50
155,13
156,24
157,37
158,39
159,24
160,37
161,13
162,13
163,50
164,13
165,12
166,44
167,39
168,12
169,13
170,12
171,13
172,24
173,13
174,37
175,13
176,12
177,24
178,50
179,24
180,12
181,13
182,24
183,24
184,24
185,12
186,12
187,12
188,24
189,12
190,39
191,24
192,6
193,37
194,37
195,44
196,37
197,37
198,6
199,12
200,24
201,6
202,37
203,24
204,12
205,37
206,12
207,13
208,13
209,12
210,6
211,12
212,39
213,12
214,24
215,37
216,24
217,37
218,13
219,12
220,24
221,50
222,50
223,6
224,13
225,37
226,6
227,24
228,13
229,50
230,50
231,12
232,13
233,6
234,24
235,13
236,12
237,37
238,12
239,12
240,37
241,24
242,24
243,13
244,12
245,6
246,6
247,24
248,13
249,24
250,12
251,37
252,39
253,12
254,13
255,13
256,24
257,12
258,24
259,50
260,37
261,50
262,12
263,12
264,12
265,37
266,50
267,12
268,37
269,12
270,12
271,13
272,39
273,39
274,6
275,13
276,37
277,44
278,12
279,12
280,12
281,12
282,12
283,39
284,24
285,12
286,12
287,12
288,50
289,24
290,39
291,39
292,13
293,37
294,6
295,12
296,50
297,44
298,37
299,13
300,39
301,50
302,37
303,6
304,37
305,37
306,6
307,24
308,12
309,37
310,6
